"Facility_name","District","Latitude","Longitude","Ownership","Medical_Doctor","Clinical_Officer","Nurses_nurseAssist","Lab_tech","Lab_assist","Microscopist","Elec_micro","Nat_micro","Centrifuge","Microscope_slides","Capillary_Tubes","Fields_Giemsa","CATT","SS_Treat","Dist_km_toTreat","Name_treat","Energy_source","Water_source","Role","Active2014","Active.2015","RDT_used_14","RDT_pos_14","RDT_used_15","RDT_pos_15"
"Birra HCII","Adjumani",3.31557,31.87196,"Government",0,0,2,0,0,0,"No","No","No","No","No","No","No","No",15.4,"Adjumani Hosp","Solar","Bore hole","RDT","Yes","No",23,0,25,0
"Bondo HCIII","Arua",2.83095,30.99598,"Government",0,1,5,0,1,1,"Yes","Yes","No","Yes","Yes","Yes","No","No",118,"Omugo HCIV","No electricity","Bore hole","RDT","Yes","No",50,1,0,0
"Carlos Medical Centre","Koboko",3.406916667,30.95646667,"Private",1,2,7,1,1,0,"Yes","No","Yes","Yes","Yes","Yes","No","No",45,"Omugo HCIV","Thermal Generator","Piped water","RDT","No","Yes",0,0,18,4
"Chakulia HCII","Koboko",3.35504,31.03358,"Government",0,0,2,0,0,0,"No","No","No","No","No","No","No","No",80,"Omugo Health centre","Solar","Bore hole","RDT","Yes","Yes",99,3,84,2
"Ciforo HCIII","Adjumani",3.35613,31.7112,"Government",0,2,8,0,1,0,"No","Yes","Yes","Yes","Yes","Yes","No","No",9,"Adjumani Hosp","Solar","Piped water","RDT","Yes","No",5,0,0,0
"Cilio HCIII","Arua",3.19758,31.03118,"Government",0,1,4,0,1,0,"Yes","Yes","No","Yes","No","Yes","No","No",10,"Omugo HCIV","Solar","Bore hole","RDT","Yes","Yes",44,0,27,0
"Cohwe HCII","Moyo",3.58684,31.61469,"Government",0,0,3,0,0,0,"No","No","No","No","No","No","No","No",20,"Moyo Hospital","Solar","Bore hole","RDT","Yes","Yes",17,0,8,0
"Curube HCII","Maracha",3.125166667,30.92078333,"Government",0,0,3,0,0,0,"No","No","No","No","No","No","No","No",60,"Omugo HCIV","Solar","Bore hole","RDT","Yes","Yes",75,2,9,2
"Dramba HCII","Yumbe",3.3205,31.08864,"Government",0,0,5,0,0,0,"No","No","No","No","No","No","No","No",20,"Yumbe Hosp","Solar","Bore hole","RDT","Yes","Yes",45,3,95,6
"Dranya HCIII","Koboko",3.3674,30.95931,"Government",0,1,3,0,0,0,"No","No","No","No","No","No","No","No",39,"Omugo HCIV","No electricity","Bore hole","RDT","Yes","Yes",105,15,54,0
"Dricile HCIII","Koboko",3.47018,30.97894,"Government",0,0,4,0,0,0,"No","No","No","No","No","No","No","No",40,"Omugo HCIV","No electricity","river/lake/well","RDT","Yes","Yes",101,0,49,0
"Dufile HCIII","Moyo",3.56893,31.92435,"Government",0,1,4,0,1,0,"No","Yes","Yes","Yes","Yes","No","No","No",40,"Moyo Hosp","Solar","Bore hole","RDT","Yes","Yes",41,0,3,0
"Dzaipi HCIII","Adjumani",3.39322,31.9552,"Government",0,1,7,0,1,0,"No","Yes","Yes","Yes","Yes","Yes","No","No",15,"Adjumani Hosp","Solar","Bore hole","RDT","Yes","No",9,0,0,0
"Ediofe HCIII","Arua",3.01559,30.89648,"Government",0,1,4,1,1,1,"Yes","Yes","No","Yes","Yes","Yes","No","No",69,"Omugo HCIV","Solar","Piped water","RDT","Yes","No",26,0,0,0
"Elegu HCII","Adjumani",3.51087,32.00999,"Government",0,0,2,0,0,0,"No","No","No","No","No","No","No","No",40,"Adjumani Hospital","Solar","Bore hole","RDT","Yes","No",6,0,0,0
"Elema HCII","Adjumani",3.47763,31.90047,"Government",0,0,2,0,0,0,"No","No","No","No","No","No","No","No",15,"Adjumani Hosp","Solar","Bore hole","RDT","Yes","Yes",0,0,0,0
"Eliofe HCIII","Maracha",3.15024,30.84101,"Government",0,1,7,0,1,1,"Yes","Yes","No","Yes","Yes","Yes","No","No",35,"Omugo HCIV","Solar","Bore hole","RDT","Yes","Yes",65,1,67,2
"Eremi HCII","Moyo",3.64576,31.81175,"Government",0,0,3,0,0,0,"No","No","No","No","No","No","No","No",15,"Moyo Hosp","Solar","river/lake/well","RDT","Yes","Yes",84,1,43,0
"Eria HCIII","Moyo",3.63128,31.6566,"Government",0,1,4,0,1,0,"Yes","Yes","Yes","Yes","No","Yes","No","No",5,"Moyo Hosp","Solar","Bore hole","RDT","Yes","Yes",24,0,11,0
"Ewanga HCIII","Arua",3.17724,31.46479,"Government",0,0,2,0,0,0,"No","No","No","No","No","No","No","No",55,"Omugo HCIV","No electricity","Bore hole","RDT","Yes","Yes",83,0,42,0
"Fr Bilibao HCIII","Moyo",3.67184,31.78927,"PNFP",0,0,3,0,1,0,"No","Yes","No","Yes","No","No","No","No",8,"Moyo Hospital","Solar","Piped water","RDT","Yes","Yes",32,0,1,0
"Friends Clinic","Koboko",3.406366667,30.95491667,"Private",0,1,1,0,2,0,"No","Yes","Yes","Yes","Yes","Yes","No","No",45,"Omugo HCIV","Solar","Bore hole","RDT","No","Yes",0,0,7,0
"Gbalala HCII","Moyo",3.55631,31.77739,"Government",0,0,3,0,0,0,"No","No","No","No","No","No","No","No",30,"Moyo Hosp","Solar","Bore hole","RDT","Yes","Yes",11,0,8,0
"Gbari HCII","Moyo",3.77917,31.80772,"Government",0,0,2,0,0,0,"No","No","No","No","No","No","No","No",25,"Moyo Hospital","Solar","Bore hole","RDT","Yes","Yes",24,0,26,0
"Gborokolongo HCII","Koboko",3.42909,31.06409,"Private",0,0,4,0,0,0,"No","No","No","No","No","No","No","No",20,"Yumbe Hosp","Solar","Bore hole","RDT","Yes","Yes",203,14,57,5
"Gbukulu-Atuni HCII","Arua",3.00472,31.2215,"Government",0,0,3,0,0,0,"No","No","No","No","No","No","No","No",60,"Omugo HCIV","No electricity","Bore hole","RDT","Yes","Yes",23,0,29,0
"Goboro HCII","Yumbe",3.63454,31.45103,"Govt",0,0,2,0,0,0,"No","No","No","No","No","No","No","No",18,"Yumbe Hospital","No electricity","Bore hole","RDT","No","Yes",0,0,97,1
"Goopi HCII","Moyo",3.69784,31.77137,"Government",0,0,3,0,0,0,"No","No","No","No","No","No","No","No",12,"Moyo Hospital","Solar","Piped water","RDT","Yes","Yes",22,0,18,0
"Guru Guru HCII","Amuru",2.91044,32.07896,"Government",0,0,3,0,0,0,"No","","No","No","No","No","No","No",55,"Adjumani Hospital","Solar","Bore hole","RDT","Yes","No",17,0,0,0
"Gwere HCII","Moyo",3.58437,31.55608,"Government",0,0,3,0,0,0,"No","No","No","No","No","No","No","No",22,"Moyo Hospital","Solar","Bore hole","RDT","Yes","Yes",18,0,19,0
"Ibakwe HCII","Moyo",3.5211,31.65511,"Government",0,0,2,0,0,0,"No","No","No","No","No","No","No","No",30,"Moyo Hosp","No electricity","Bore hole","RDT","Yes","Yes",53,0,77,0
